filename,compound_name,area,cmpd_type,samp_type,day
230831_Smp_G5_NFEX_T6_Urea_Metab_C,"Glycine betaine 0(15N), 1(13C)",429944,Non-IS,Smp,6
230831_Smp_G5_NFEX_T12_NH4_Metab_A,"Glycine betaine 0(15N), 1(13C)",8016279,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_NH4_Metab_B,"Glycine betaine 0(15N), 1(13C)",8717076,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_NH4_Metab_C,"Glycine betaine 0(15N), 1(13C)",187095,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_NO3_Metab_A,"Glycine betaine 0(15N), 1(13C)",6136750,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_NO3_Metab_B,"Glycine betaine 0(15N), 1(13C)",5725148,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_NO3_Metab_C,"Glycine betaine 0(15N), 1(13C)",4431380,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_Urea_Metab_A,"Glycine betaine 0(15N), 1(13C)",11238747,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_Urea_Metab_B,"Glycine betaine 0(15N), 1(13C)",523785,Non-IS,Smp,12
230831_Smp_G5_NFEX_T12_Urea_Metab_C,"Glycine betaine 0(15N), 1(13C)",6912136,Non-IS,Smp,12
230831_Smp_G5_NFEX_T24_NH4_Metab_A,"Glycine betaine 0(15N), 1(13C)",245450,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_NH4_Metab_B,"Glycine betaine 0(15N), 1(13C)",3546586,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_NH4_Metab_C,"Glycine betaine 0(15N), 1(13C)",6937231,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_NO3_Metab_A,"Glycine betaine 0(15N), 1(13C)",3653804,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_NO3_Metab_B,"Glycine betaine 0(15N), 1(13C)",7925681,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_NO3_Metab_C,"Glycine betaine 0(15N), 1(13C)",5279907,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_Urea_Metab_A,"Glycine betaine 0(15N), 1(13C)",9006416,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_Urea_Metab_B,"Glycine betaine 0(15N), 1(13C)",10045593,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_Urea_Metab_C,"Glycine betaine 0(15N), 1(13C)",1377041,Non-IS,Smp,24
230831_Smp_G5_NFEX_T24_Urea_Metab_C_2ndInj,"Glycine betaine 0(15N), 1(13C)",1694949,Non-IS,Smp,24
230831_Smp_LabBlk_1_A,"Glycine betaine 0(15N), 1(13C)",4140318,Non-IS,Smp,NA
230831_Smp_LabBlk_1_B,"Glycine betaine 0(15N), 1(13C)",283960,Non-IS,Smp,NA
230831_Smp_LabBlk_1_C,"Glycine betaine 0(15N), 1(13C)",104384,Non-IS,Smp,NA
230831_Smp_LabBlk_1_C_2ndInj,"Glycine betaine 0(15N), 1(13C)",1805618,Non-IS,Smp,NA
230831_Smp_LabBlk_2_A,"Glycine betaine 0(15N), 1(13C)",2159279,Non-IS,Smp,NA
230831_Smp_LabBlk_2_B,"Glycine betaine 0(15N), 1(13C)",2064506,Non-IS,Smp,NA
230831_Smp_LabBlk_2_C,"Glycine betaine 0(15N), 1(13C)",4452784,Non-IS,Smp,NA
230831_Smp_LabBlk_3_A,"Glycine betaine 0(15N), 1(13C)",6160416,Non-IS,Smp,NA
230831_Smp_LabBlk_3_B,"Glycine betaine 0(15N), 1(13C)",379491,Non-IS,Smp,NA
230831_Smp_LabBlk_3_C,"Glycine betaine 0(15N), 1(13C)",4626419,Non-IS,Smp,NA
230831_Smp_LabBlk_4_A,"Glycine betaine 0(15N), 1(13C)",221045,Non-IS,Smp,NA
230831_Smp_LabBlk_4_B,"Glycine betaine 0(15N), 1(13C)",3356359,Non-IS,Smp,NA
230831_Smp_LabBlk_4_C,"Glycine betaine 0(15N), 1(13C)",2865986,Non-IS,Smp,NA
230831_Smp_LabBlk_5_A,"Glycine betaine 0(15N), 1(13C)",465933,Non-IS,Smp,NA
230831_Smp_LabBlk_5_B,"Glycine betaine 0(15N), 1(13C)",3931172,Non-IS,Smp,NA
230831_Smp_LabBlk_5_C,"Glycine betaine 0(15N), 1(13C)",4974738,Non-IS,Smp,NA
230831_Std_4uMStdsMix1InH2O_1,"Glycine betaine 1(15N), 0(13C)",NA,Non-IS,Std,NA
230831_Std_4uMStdsMix1InH2O_2,"Glycine betaine 1(15N), 0(13C)",NA,Non-IS,Std,NA
230831_Std_4uMStdsMix1InH2O_3,"Glycine betaine 1(15N), 0(13C)",346465,Non-IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_1,"Glycine betaine 1(15N), 0(13C)",3765969,Non-IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_2,"Glycine betaine 1(15N), 0(13C)",2929143,Non-IS,Std,NA
230831_Std_4uMStdsMix1InMatrix_3,"Glycine betaine 1(15N), 0(13C)",2415789,Non-IS,Std,NA
230831_Std_4uMStdsMix2InH2O_1,"Glycine betaine 1(15N), 0(13C)",8021816,Non-IS,Std,NA
230831_Std_4uMStdsMix2InH2O_2,"Glycine betaine 1(15N), 0(13C)",7768374,Non-IS,Std,NA
230831_Std_4uMStdsMix2InH2O_3,"Glycine betaine 1(15N), 0(13C)",8426393,Non-IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_1,"Glycine betaine 1(15N), 0(13C)",10337892,Non-IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_2,"Glycine betaine 1(15N), 0(13C)",11309210,Non-IS,Std,NA
230831_Std_4uMStdsMix2InMatrix_3,"Glycine betaine 1(15N), 0(13C)",11707738,Non-IS,Std,NA
230831_Std_H2OinMatrix_1,"Glycine betaine 1(15N), 0(13C)",3895093,Non-IS,Std,NA
230831_Std_H2OinMatrix_2,"Glycine betaine 1(15N), 0(13C)",47875,Non-IS,Std,NA
230831_Std_H2OinMatrix_3,"Glycine betaine 1(15N), 0(13C)",28102,Non-IS,Std,NA
230831_Poo_G5_NFEX-CatEx_Full1,"Glycine betaine 1(15N), 0(13C)",46866,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full2,"Glycine betaine 1(15N), 0(13C)",52599,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full3,"Glycine betaine 1(15N), 0(13C)",76554,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full4,"Glycine betaine 1(15N), 0(13C)",5441994,Non-IS,Poo,NA
230831_Poo_G5_NFEX-CatEx_Full5,"Glycine betaine 1(15N), 0(13C)",48641,Non-IS,Poo,NA
