compound_name,filename,nM,hour
"Glycine betaine 1(15N), 0(13C)",230831_Smp_LabBlk_5_B,0.002144501481762144,NA
"Glycine betaine 1(15N), 0(13C)",230831_Smp_LabBlk_5_C,0.006369213060661588,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix1InH2O_1,NA,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix1InH2O_2,NA,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix1InH2O_3,NA,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix1InMatrix_1,0.0012314859209678645,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix1InMatrix_2,NA,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix1InMatrix_3,NA,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix2InH2O_1,24.054568118805403,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix2InH2O_2,35.181765536498126,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix2InH2O_3,13.947228668096903,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix2InMatrix_1,0.00801156164361391,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix2InMatrix_2,0.005326732283650521,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_4uMStdsMix2InMatrix_3,0.009877760719628259,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_H2OinMatrix_1,0.005798288464834331,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_H2OinMatrix_2,0.002797064606208389,NA
"Glycine betaine 1(15N), 1(13C)",230831_Std_H2OinMatrix_3,0.0023478793149962277,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full1,0.0040065509621567425,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full2,0.004547009784819178,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full3,0.0049503982995271765,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full4,0.0032854939325193616,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full5,0.005351309713760261,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full6,0.003230483318072105,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full7,0.003121398676190948,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full8,0.004800781830829096,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full9,0.0036484295599577186,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full10,0.002579028982567883,NA
"Glycine betaine 1(15N), 1(13C)",230831_Poo_G5_NFEX-CatEx_Full11,0.004463643501509078,NA
